105;REL-L;F
84;LENGTH;1450
24;TYPE;SIMPLE-T
80;CLEAR-G;G
56;MATERIAL;STEEL
63;LOCATION;43
78;LOCATION;1
53;MATERIAL;STEEL
64;REL-L;F
105;LANES;6
10;TYPE;WOOD
50;REL-L;F
45;REL-L;F
37;SPAN;MEDIUM
73;LENGTH;860
56;SPAN;MEDIUM
31;LENGTH;1161
78;SPAN;LONG
82;CLEAR-G;G
55;T-OR-D;THROUGH
39;SPAN;SHORT
98;T-OR-D;DECK
31;T-OR-D;THROUGH
22;TYPE;WOOD
42;T-OR-D;THROUGH
17;SPAN;SHORT
46;MATERIAL;STEEL
86;CLEAR-G;N
50;MATERIAL;STEEL
93;CLEAR-G;G
20;LOCATION;16
35;REL-L;F
19;SPAN;MEDIUM
80;REL-L;S-F
102;SPAN;MEDIUM
106;REL-L;F
57;ERECTED;1904
85;MATERIAL;STEEL
10;LOCATION;29
37;REL-L;S
74;MATERIAL;STEEL
15;SPAN;MEDIUM
37;LOCATION;18
18;SPAN;MEDIUM
41;ERECTED;1894
19;LENGTH;1000
16;T-OR-D;THROUGH
57;LOCATION;28
42;CLEAR-G;G
83;SPAN;LONG
58;REL-L;F
44;ERECTED;1896
36;SPAN;MEDIUM
99;ERECTED;1955
16;ERECTED;1863
63;TYPE;CANTILEV
52;T-OR-D;THROUGH
90;SPAN;MEDIUM
38;MATERIAL;STEEL
85;LOCATION;6
22;LANES;4
22;REL-L;S
67;LENGTH;1000
4;REL-L;S
63;CLEAR-G;G
39;ERECTED;1892
101;T-OR-D;THROUGH
44;MATERIAL;STEEL
42;PURPOSE;HIGHWAY
88;TYPE;CONT-T
