207;Fe;0.00
64;Fe;0.00
109;Ca;11.52
68;Fe;0.17
204;Na;14.80
202;Fe;0.00
100;Al;1.43
39;Mg;3.82
122;Fe;0.21
155;Ba;0.00
110;Na;13.72
150;Ba;0.00
6;Type;1
105;Ca;10.79
111;Ba;0.00
78;Ba;0.00
114;Fe;0.14
91;Si;72.28
110;Si;74.45
64;K;0.00
75;Fe;0.00
196;Ca;9.07
64;Na;14.17
209;Type;7
181;Type;6
157;Ba;0.00
137;Na;13.00
18;Al;0.89
78;K;0.61
145;Ba;0.00
186;Ba;1.19
58;Mg;3.48
147;Fe;0.00
180;Si;72.67
147;Type;3
115;Na;13.10
6;Fe;0.26
173;Ba;0.00
49;Ca;10.02
30;Al;1.28
129;Al;1.67
168;K;0.38
9;Mg;3.58
85;Type;2
125;Na;13.20
169;K;0.97
11;Type;1
63;Type;1
92;Mg;3.44
35;Type;1
7;K;0.58
14;Si;73.21
20;Mg;3.54
21;Type;1
180;K;0.00
43;K;0.59
112;Fe;0.00
44;Si;71.76
97;Type;2
81;Mg;3.52
141;Type;2
103;Al;0.83
158;Ca;9.65
154;Mg;3.40
47;Fe;0.16
205;Ca;8.71
24;Ba;0.00
31;Fe;0.14
7;Ca;8.17
142;Ca;8.41
37;Type;1
162;Mg;3.54
92;Al;1.45
3;Ca;7.78
133;Na;13.43
159;Ca;8.79
63;Si;71.79
65;K;0.18
45;Type;1
116;Type;2
88;Fe;0.10
113;Si;72.02
178;Al;1.19
169;Ba;0.00
187;Ca;5.79
67;Fe;0.17
80;Ca;7.97
65;Ba;0.00
184;Ba;0.00
177;Al;1.56
159;Fe;0.00
209;Si;72.85
203;Fe;0.00
117;Ca;8.31
94;Ca;8.22
37;Fe;0.00
26;Al;1.21
29;K;0.57
211;K;0.00
135;Na;13.33
30;Type;1
156;Ca;8.58
161;Na;13.33
199;Na;14.38
115;Fe;0.00
160;Ca;8.81
26;Ba;0.00
